記録日時              : = Sun Mar 21 17:41:05 2021,,,,,,,,
シナリオファイル名    : = ..\data\Scenario\Nakano_Lab\Xue\trackingTest_Wang.snr,,,,,,,,
記録用コメント        : = ,,,,,,,,
記録周期 [Hz]         : = 120,,,,,,,,
記録時間[sec]         : = 58.116667,,,,,,,,
,,,,,,,,
ﾌﾚｰﾑ,自車両データ:位置座標(X) [m],自車両データ:位置座標(Y) [m],自車両データ:ISO座標系 姿勢角(φ) [rad],自車両データ:ISO座標系 姿勢角(θ) [rad],自車両データ:ISO座標系 姿勢角(ψ) [rad],自車両データ:速度 [m/s],自車両データ:ライト類点灯状態,自車両データ:運転席I/O出力 ホーン
204,6189.826614,2213.1375,0,0,0.523598776,6.5,0,0
206,6189.919832,2213.191319,0,0,0.523598776,6.416666667,0,0
208,6190.011847,2213.244444,0,0,0.523598776,6.333333333,0,0
210,6190.10266,2213.296875,0,0,0.523598776,6.25,0,0
212,6190.192269,2213.348611,0,0,0.523598776,6.166666667,0,0
214,6190.280676,2213.399653,0,0,0.523598776,6.083333333,0,0
216,6190.36788,2213.45,0,0,0.523598776,6,0,0
218,6190.453881,2213.499653,0,0,0.523598776,5.916666667,0,0
220,6190.53868,2213.548611,0,0,0.523598776,5.833333333,0,0
222,6190.622275,2213.596875,0,0,0.523598776,5.75,0,0
224,6190.704668,2213.644444,0,0,0.523598776,5.666666667,0,0
226,6190.785858,2213.691319,0,0,0.523598776,5.583333333,0,0
228,6190.865845,2213.7375,0,0,0.523598776,5.5,0,0
230,6190.944629,2213.782986,0,0,0.523598776,5.416666667,0,0
232,6191.02221,2213.827778,0,0,0.523598776,5.333333333,0,0
234,6191.098589,2213.871875,0,0,0.523598776,5.25,0,0
236,6191.173765,2213.915278,0,0,0.523598776,5.166666667,0,0
238,6191.247738,2213.957986,0,0,0.523598776,5.083333333,0,0
240,6191.320508,2214,0,0,0.523598776,5,0,0
242,6191.392075,2214.041319,0,0,0.523598776,4.916666667,0,0
244,6191.46244,2214.081944,0,0,0.523598776,4.833333333,0,0
246,6191.531602,2214.121875,0,0,0.523598776,4.75,0,0
248,6191.599561,2214.161111,0,0,0.523598776,4.666666667,0,0
250,6191.666317,2214.199653,0,0,0.523598776,4.583333333,0,0
252,6191.73187,2214.2375,0,0,0.523598776,4.5,0,0
254,6191.796221,2214.274653,0,0,0.523598776,4.416666667,0,0
256,6191.859368,2214.311111,0,0,0.523598776,4.333333333,0,0
258,6191.921313,2214.346875,0,0,0.523598776,4.25,0,0
260,6191.982055,2214.381944,0,0,0.523598776,4.166666667,0,0
262,6192.041595,2214.416319,0,0,0.523598776,4.083333333,0,0
264,6192.099931,2214.45,0,0,0.523598776,4,0,0
266,6192.157065,2214.482986,0,0,0.523598776,3.916666667,0,0
268,6192.212995,2214.515278,0,0,0.523598776,3.833333333,0,0
270,6192.267723,2214.546875,0,0,0.523598776,3.75,0,0
272,6192.321249,2214.577778,0,0,0.523598776,3.666666667,0,0
274,6192.373571,2214.607986,0,0,0.523598776,3.583333333,0,0
276,6192.42469,2214.6375,0,0,0.523598776,3.5,0,0
278,6192.474607,2214.666319,0,0,0.523598776,3.416666667,0,0
280,6192.523321,2214.694444,0,0,0.523598776,3.333333333,0,0
282,6192.570832,2214.721875,0,0,0.523598776,3.25,0,0
284,6192.617141,2214.748611,0,0,0.523598776,3.166666667,0,0
286,6192.662246,2214.774653,0,0,0.523598776,3.083333333,0,0
288,6192.706149,2214.8,0,0,0.523598776,3,0,0
290,6192.748849,2214.824653,0,0,0.523598776,2.916666667,0,0
292,6192.790346,2214.848611,0,0,0.523598776,2.833333333,0,0
294,6192.83064,2214.871875,0,0,0.523598776,2.75,0,0
296,6192.869731,2214.894444,0,0,0.523598776,2.666666667,0,0
298,6192.90762,2214.916319,0,0,0.523598776,2.583333333,0,0
300,6192.944306,2214.9375,0,0,0.523598776,2.5,0,0
302,6192.979789,2214.957986,0,0,0.523598776,2.416666667,0,0
304,6193.014069,2214.977778,0,0,0.523598776,2.333333333,0,0
306,6193.047146,2214.996875,0,0,0.523598776,2.25,0,0
308,6193.079021,2215.015278,0,0,0.523598776,2.166666667,0,0
310,6193.109693,2215.032986,0,0,0.523598776,2.083333333,0,0
312,6193.139161,2215.05,0,0,0.523598776,2,0,0
314,6193.167428,2215.066319,0,0,0.523598776,1.916666667,0,0
316,6193.194491,2215.081944,0,0,0.523598776,1.833333333,0,0
318,6193.220351,2215.096875,0,0,0.523598776,1.75,0,0
320,6193.245009,2215.111111,0,0,0.523598776,1.666666667,0,0
322,6193.268464,2215.124653,0,0,0.523598776,1.583333333,0,0
324,6193.290716,2215.1375,0,0,0.523598776,1.5,0,0
